Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Temp_LSM9DS1,Proximity,Color_R,Color_G,Color_B,Color_C,BME680_Temp,Gas,Humidity,Pressure,GPS_Latitude,GPS_Longitude,GPS_Speed
2025-05-14T13:30:01,8.7948194663,4.2508493489,-0.053240302850000004,0.0038179077387375964,-0.015271630954950386,0.007941248096574201,0.38066,-0.22022000000000003,-0.67984,21.5,0,0,0,0,0,24.1614453125,110801,56.131581977717204,1016.8308597611656,40.689011,-73.991401,0.73,0.8096797574349998
2025-05-14T13:30:03,8.74516839735,4.283750659649999,-0.05204389154999999,0.003054326190990077,-0.012370021073509813,0.013897184169004852,0.37646,-0.22918000000000002,-0.6837600000000001,21.5,0,1193,1078,1004,2201,24.16671875,36436,56.171517941571615,1016.8396003277397,40.689011,-73.991401,0.73,0.8134945246281626
2025-05-14T13:30:04,8.76431097815,4.267000901449999,-0.0370887503,0.002901609881440573,-0.015424347264499889,0.012217304763960308,0.36890000000000006,-0.22918000000000002,-0.67872,21.5,0,1195,1082,1008,2205,24.1891796875,36850,56.181181028911666,1016.8412648495506,40.689003,-73.991396,0.73,0.8057738645550624
2025-05-14T13:30:05,8.779266119399999,4.258027816699999,-0.07537391189999999,0.00473420559603462,-0.01618792881224741,0.011759155835311796,0.36974,-0.22078000000000003,-0.6766200000000001,21.5,0,1197,1085,1011,2208,24.213984375,37207,56.15196411917093,1016.8485899874931,40.689003,-73.991396,0.73,0.8020387150256527
2025-05-14T13:30:06,8.7529450708,4.283750659649999,-0.04606183504999999,0.006719517620178169,-0.01832595714594046,0.008552113334772215,0.37058,-0.22722000000000003,-0.6743800000000001,21.5,0,1198,1087,1013,2211,24.2376171875,37405,56.116054269694764,1016.8575273629687,40.689003,-73.991396,0.73,0.8023383632857151
2025-05-14T13:30:08,8.773284062899998,4.23948344155,-0.0502492746,0.0006108652381980154,-0.015424347264499889,0.011606439525762293,0.3703,-0.22190000000000004,-0.6759200000000001,21.5,0,1200,1091,1017,2215,24.2596875,37638,56.07340035170127,1016.8656516890327,40.689003,-73.991396,0.73,0.8020159265251533
2025-05-14T13:30:09,8.7445701917,4.2759739861999995,-0.03529413334999999,0.004123340357836604,-0.012522737383059314,0.011759155835311796,0.36862000000000006,-0.21686000000000002,-0.68418,21.5,0,1203,1095,1021,2221,24.2782421875,37504,56.04332624595829,1016.8786185995205,40.689003,-73.991396,0.73,0.8068526732929625
2025-05-14T13:30:10,8.77388226855,4.2628134618999995,-0.0263210486,0.0044287729769356115,-0.01618792881224741,0.009926560120717751,0.37058,-0.22106000000000003,-0.67872,21.5,0,1205,1100,1025,2225,24.2950390625,38148,56.01301132570383,1016.8833360062349,40.689003,-73.991396,0.73,0.8042747654875166
2025-05-14T13:30:11,8.75473968775,4.289134510499999,-0.03649054465,0.0015271630954950385,-0.015424347264499889,0.014355333097653362,0.37058,-0.2233,-0.6872600000000001,21.5,0,1207,1103,1027,2227,24.310078125,37806,55.962869718556675,1016.8833606937302,40.689003,-73.991396,0.73,0.8121075877000535
2025-05-14T13:30:12,8.7302132561,4.2747775749,-0.011365907350000001,0.0038179077387375964,-0.011606439525762293,0.0119118721448613,0.36190000000000005,-0.22162000000000004,-0.6721400000000001,21.5,0,1209,1106,1031,2232,24.3227734375,38011,55.92546785354037,1016.8812787976334,40.689003,-73.991396,0.73,0.7948957252369647
