Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Temp_LSM9DS1,Proximity,Color_R,Color_G,Color_B,Color_C,BME680_Temp,Gas,Humidity,Pressure,GPS_Latitude,GPS_Longitude,GPS_Speed
2025-05-12T12:00:35,8.7361953126,4.19641263475,-0.05204389154999999,0.0056505034533316425,-0.013439035240356337,0.00595593607243065,0.34818,-0.19894000000000003,-0.6661200000000002,22.5,0,0,0,0,0,25.5688671875,130208,30.27408080506617,1025.3736800912088,,,,0.7775103153013472
2025-05-12T12:00:36,8.764909183799999,4.2197426551,-0.046660040699999995,0.002901609881440573,-0.018173240836390957,0.011606439525762293,0.35350000000000004,-0.19754000000000002,-0.67242,23.5,0,5461,4466,4166,10944,25.591328125,41853,30.33207286701382,1025.3772826658067,40.68933,-73.99207,,0.7849413723329915
2025-05-12T12:00:37,8.7852481759,4.215555215549999,-0.057427742399999995,0.0022907446432425577,-0.014355333097653362,0.009773843811168246,0.34706000000000004,-0.20118,-0.6701800000000001,23.5,0,5543,4524,4220,11104,25.63625,41729,30.363980883165308,1025.3684380818559,40.68933,-73.99207,,0.7810667502845069
2025-05-12T12:00:39,8.769694828999999,4.22991215115,-0.037686955949999996,0.0054977871437821395,-0.014813482026301873,0.01069014166846527,0.35238,-0.19978000000000004,-0.6762,23.5,0,5623,4581,4272,11257,25.68078125,41853,30.356598176675828,1025.3660625011769,40.68933,-73.99207,,0.7882449827306229
2025-05-12T12:00:40,8.77986432505,4.218546243799999,-0.047856451999999994,0.0027488935718910697,-0.012217304763960308,0.009010262263420728,0.35098,-0.19950000000000004,-0.6910400000000001,23.5,0,5693,4631,4317,11392,25.7008984375,41688,30.291032665168835,1025.36931031725,40.68933,-73.99207,,0.8003271156221062
2025-05-12T12:00:42,8.769096623349999,4.22393009465,-0.053240302850000004,0.0027488935718910697,-0.01710422666954443,0.008399397025222712,0.36022000000000004,-0.1967,-0.6652800000000001,23.5,0,5823,4726,4403,11647,25.7137890625,41606,30.241686644394157,1025.3569375254056,40.68933,-73.99207,,0.781694836109335
2025-05-12T12:00:43,8.75593609905,4.2340995907,-0.0502492746,0.003970624048287101,-0.014508049407202865,0.008704829644321718,0.35434000000000004,-0.20650000000000002,-0.67844,22.5,0,5859,4753,4426,11718,25.7481640625,41483,30.244639570974094,1025.3625673755732,40.68933,-73.99207,,0.7927672541168689
2025-05-12T12:00:45,8.7876409985,4.24666190935,-0.05982056499999999,0.005345070834232635,-0.017256942979093935,0.009926560120717751,0.35966000000000004,-0.20034000000000002,-0.6664000000000001,22.5,0,5908,4788,4457,11810,25.7825390625,41565,30.2195662748194,1025.3735414959606,40.68933,-73.99207,,0.7833137246340065
2025-05-12T12:00:46,8.76311456685,4.240081647199999,-0.0370887503,0.0012217304763960308,-0.01756237559819294,0.012522737383059314,0.35910000000000003,-0.19866000000000003,-0.6668200000000001,23.5,0,5933,4809,4476,11861,25.8118359375,41729,30.194058998309487,1025.3706930783414,40.68933,-73.99207,,0.782986282127599
2025-05-12T12:00:47,8.769096623349999,4.2251265059500005,-0.04307080679999999,0.00015271630954950385,-0.021838432265579053,0.010842857978014774,0.35042,-0.20286,-0.6622,23.5,0,5933,4812,4481,11865,25.8368359375,41647,30.156979003447237,1025.374940071317,40.68933,-73.99207,,0.7761798734829447
2025-05-12T12:00:48,8.769694828999999,4.2269211229,-0.041874395499999995,0.00045814892864851157,-0.018173240836390957,0.011301006906663285,0.35462000000000005,-0.19726000000000002,-0.68124,23.5,0,5926,4809,4477,11851,25.8594921875,41647,30.1029005996528,1025.371709534469,40.68933,-73.99207,,0.7929405965140137
2025-05-12T12:00:49,8.78464997025,4.22393009465,-0.05682953674999999,0.003054326190990077,-0.015118914645400881,0.009773843811168246,0.36162000000000005,-0.20202,-0.6732600000000001,23.5,0,5933,4816,4483,11865,25.8784375,41688,30.06531956388023,1025.3729878077556,40.68933,-73.99207,,0.7904809500550916
2025-05-12T12:00:51,8.788239204149999,4.2227336833499995,-0.05982056499999999,0.0036651914291880926,-0.016493361431346415,0.009773843811168246,0.35266000000000003,-0.20062000000000002,-0.6721400000000001,22.5,0,5970,4842,4509,11936,25.868671875,41524,29.986110334784314,1025.381668210907,40.68933,-73.99207,,0.7851048589838177
2025-05-12T12:00:52,8.7840517646,4.217948038149999,-0.053240302850000004,0.0036651914291880926,-0.01893682238413848,0.01145372321621279,0.35490000000000005,-0.20846,-0.6685000000000001,23.5,0,6004,4870,4532,12008,25.8809765625,41647,29.96477579413334,1025.3879216991904,40.68933,-73.99207,,0.7850489357995463
2025-05-12T12:00:53,8.778667913749999,4.2364924133,-0.059222359349999996,0.004886921905584123,-0.013744467859455347,0.011606439525762293,0.34678000000000003,-0.2121,-0.6801200000000002,22.5,0,5991,4862,4526,11981,25.89640625,41812,29.926925598784983,1025.3940360162278,40.68933,-73.99207,,0.7923420932905182
2025-05-12T12:00:55,8.7541414821,4.2538403771499995,-0.05682953674999999,0.004123340357836604,-0.02138028333693054,0.008704829644321718,0.3521,-0.19362000000000001,-0.6615000000000001,23.5,0,5975,4855,4520,11959,25.912421875,41770,29.88354034596295,1025.3939931314897,,,,0.7739802093077058
