Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Temp_LSM9DS1,Proximity,Color_R,Color_G,Color_B,Color_C,BME680_Temp,Gas,Humidity,Pressure,GPS_Latitude,GPS_Longitude,GPS_Speed
2025-05-10T23:14:46,8.74038275215,4.2197426551,0.10947163395000001,0.006566801310628666,-0.010995574287564279,0.009010262263420728,0.37142000000000003,-0.22022000000000003,-0.7007000000000001,19.5,0,0,0,0,0,23.997578125,70536,34.94341641773909,1017.9032039541567,,,,0.8230614526267162
2025-05-10T23:14:47,8.7433737804,4.213162392949999,0.10468598874999999,0.0018325957145940463,-0.013133602621257331,0.013744467859455347,0.36190000000000005,-0.21686000000000002,-0.6906200000000001,20.5,0,0,0,0,1,23.8548046875,22512,34.84903976020866,1017.886669423232,,,,0.8092934288624863
2025-05-10T23:14:48,8.7720876516,4.23948344155,0.08015955709999999,-0.0033597588100890844,-0.014966198335851376,0.018173240836390957,0.36666000000000004,-0.21826,-0.7037800000000001,20.5,0,0,0,0,1,23.8425,23282,34.72683398745263,1017.8840199250495,,,0.0,0.8230329711500021
2025-05-10T23:14:49,8.7469630143,4.205983925149999,0.1268195978,-0.009315694882519735,-0.01618792881224741,0.014813482026301873,0.36582000000000003,-0.21518,-0.69594,20.5,0,0,0,0,1,23.86359375,23967,34.584868618679494,1017.8763738985847,,,0.0,0.8151436612033489
2025-05-10T23:14:50,8.737989929549999,4.188037755649999,0.09690931529999999,-0.004581489286485115,-0.013133602621257331,0.015882496193148403,0.36246000000000006,-0.21490000000000004,-0.7036400000000002,20.5,0,0,0,0,1,23.897578125,24667,34.42124235654955,1017.8830096168053,,,0.0,0.8201637099994125
2025-05-10T23:14:52,8.7278204335,4.2496529376,0.09810572659999998,0.00473420559603462,-0.012522737383059314,0.014966198335851376,0.36918,-0.20258,-0.6914600000000001,20.5,0,0,0,0,1,23.9298046875,25257,34.26335640341432,1017.8707256172603,,,0.0,0.8095983327552004
2025-05-10T23:14:53,8.7373917239,4.2305103568,0.11246266220000001,-0.006108652381980154,-0.01832595714594046,0.011759155835311796,0.3633,-0.21378000000000003,-0.7095200000000002,20.5,0,0,0,0,1,23.9602734375,25750,34.1226729550804,1017.864406802689,,,0.0,0.8252923171822213
2025-05-10T23:14:54,8.7493558369,4.2269211229,0.08374879099999999,-0.00015271630954950385,-0.014202616788103858,0.014049900478554353,0.36358,-0.21070000000000003,-0.70406,20.5,0,0,0,0,1,23.98703125,26377,33.976028363195915,1017.8661467905437,40.689086,-73.991605,0.08,0.8199301128754817
2025-05-10T23:14:55,8.7397845465,4.232903179399999,0.08015955709999999,0.00015271630954950385,-0.014049900478554353,0.013286318930806834,0.36778000000000005,-0.21882000000000001,-0.6899200000000001,20.5,0,0,0,0,1,23.71046875,26443,33.67545628565687,1017.8656795189388,40.689086,-73.991613,0.08,0.8118706345225205
2025-05-10T23:14:57,8.7373917239,4.2293139454999995,0.09152546445000001,-0.0003054326190990077,-0.014508049407202865,0.013133602621257331,0.36190000000000005,-0.21182,-0.6977600000000002,20.5,0,0,0,0,1,23.7815625,27157,33.704915737628816,1017.8646276996275,40.689086,-73.991613,0.18,0.8140690019893893
2025-05-10T23:15:00,8.729615050449999,4.22034086075,0.14057832774999998,-0.006108652381980154,-0.017256942979093935,0.013286318930806834,0.36638000000000004,-0.20958000000000002,-0.6931400000000001,20.5,0,0,0,0,1,23.695234375,27838,33.63973583616754,1017.8101832165427,40.689086,-73.991613,0.18,0.8115424452239083
2025-05-10T23:15:02,8.7720876516,4.2221354777,0.12861421474999998,-0.0035124751196385882,-0.015882496193148403,0.017256942979093935,0.36554000000000003,-0.21518,-0.7071400000000001,20.5,0,0,0,0,1,23.58,27728,33.463412343320236,1017.8303195520551,40.689086,-73.991613,0.18,0.824602269945942
2025-05-10T23:15:03,8.72363299395,4.2382870302499995,0.08853443620000001,0.006414085001079162,-0.012217304763960308,0.014202616788103858,0.36106000000000005,-0.21154000000000003,-0.70154,20.5,0,0,0,0,1,23.46046875,27710,33.44672779799217,1017.8503592215216,40.689086,-73.991613,0.18,0.8168671047361377
2025-05-10T23:15:05,8.7326060787,4.24546549805,0.0897308475,0.004886921905584123,-0.014813482026301873,0.012217304763960308,0.36386,-0.21266000000000002,-0.6944000000000001,20.5,0,0,0,0,1,23.363203125,27930,33.47776251463835,1017.855800352119,40.689086,-73.991613,0.18,0.8122867321334261
.0,0.8088641604126122
