Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Temp_LSM9DS1,Proximity,Color_R,Color_G,Color_B,Color_C,BME680_Temp,Gas,Humidity,Pressure,GPS_Latitude,GPS_Longitude,GPS_Speed
2025-05-14T00:34:15,8.7529450708,4.3094735025999995,0.00059820565,0.003207042500539581,-0.012370021073509813,0.010231992739816757,0.36246000000000006,-0.22442,-0.66234,21.5,0,0,0,0,0,23.9212109375,92193,58.81390770327935,1019.6749213506976,40.689365,-73.991626,,0.7876775124376728
2025-05-14T00:34:16,8.720641965699999,4.308875296949999,0.0,0.00473420559603462,-0.012980886311707827,0.012828170002158324,0.3647,-0.22050000000000003,-0.67872,21.5,0,0,0,0,0,23.9458203125,27351,58.76448410023637,1019.6678358147014,40.689365,-73.991626,,0.8014282116322086
2025-05-14T00:34:18,8.7445701917,4.290929127449999,-0.020937197749999997,0.0033597588100890844,-0.015424347264499889,0.013133602621257331,0.37170000000000003,-0.21238,-0.6627600000000001,21.5,0,0,0,0,0,23.9911328125,27333,58.658489630280144,1019.6613841798447,40.689365,-73.991626,,0.7889974473976454
2025-05-14T00:34:19,8.74995404255,4.224528300299999,-0.022133609050000003,0.003970624048287101,-0.017256942979093935,0.010231992739816757,0.36946,-0.21910000000000002,-0.6643000000000001,21.5,0,0,0,0,0,24.0378125,27565,58.5130633693005,1019.6554169596493,40.689365,-73.991626,,0.7910752123534147
2025-05-14T00:34:20,8.763712772499998,4.2436708811,-0.0251246373,0.0015271630954950385,-0.015424347264499889,0.0119118721448613,0.36778000000000005,-0.21238,-0.66808,21.5,0,0,0,0,0,24.0794140625,27655,58.34718211170966,1019.6552231659975,40.689365,-73.991626,,0.7916427724674812
2025-05-14T00:34:21,8.76311456685,4.27298295795,-0.0370887503,-0.002138028333693054,-0.015424347264499889,0.012980886311707827,0.36750000000000005,-0.20874,-0.6808200000000001,21.5,0,0,0,0,0,24.1159375,27930,58.187301931730886,1019.6572504670926,40.689551,-73.99169,1.17,0.8013391978432106
2025-05-14T00:34:22,8.742177369099998,4.281956042699999,-0.013758729949999998,0.0016798794050445422,-0.01618792881224741,0.013744467859455347,0.37254000000000004,-0.21686000000000002,-0.6629,21.5,0,0,0,0,0,24.1471875,28022,58.033383537320965,1019.6593988589659,40.689551,-73.99169,1.17,0.7907279691524767
2025-05-14T00:34:24,8.76670380075,4.27657219185,-0.01854437515,0.005039638215133627,-0.014355333097653362,0.013133602621257331,0.3633,-0.21966000000000002,-0.67172,21.5,0,0,0,0,0,24.174921875,28399,57.92522284442239,1019.6610352845298,40.689558,-73.991718,1.17,0.7946352395910969
2025-05-14T00:34:25,8.756534304699999,4.2987058009,-0.011365907350000001,0.006261368691529657,-0.013439035240356337,0.010995574287564279,0.37254000000000004,-0.21406000000000003,-0.66584,21.5,0,0,0,0,0,24.1973828125,28495,57.80318536306431,1019.6574613157745,40.689558,-73.991718,1.17,0.7924333667886531
2025-05-14T00:34:26,8.73081146175,4.30767888565,0.0083748791,0.00595593607243065,-0.012828170002158324,0.010995574287564279,0.36722000000000005,-0.22302000000000002,-0.6722800000000001,21.5,0,0,0,0,0,24.217890625,28786,57.68752587904049,1019.6595312162872,40.689558,-73.991718,1.17,0.7978401138072716
2025-05-14T00:34:27,8.772685857249998,4.261617050599999,-0.037686955949999996,0.0015271630954950385,-0.01710422666954443,0.010995574287564279,0.36190000000000005,-0.21826,-0.66444,21.5,0,0,0,0,0,24.2364453125,28885,57.60456494992798,1019.6601321123891,40.689558,-73.991718,0.98,0.7874576504168336
2025-05-14T00:34:28,8.74038275215,4.41535590265,-0.0167497582,0.0013744467859455349,-0.014049900478554353,0.013591751549905842,0.36862000000000006,-0.21686000000000002,-0.68432,21.5,0,0,0,0,0,24.251875,29144,57.52119251187946,1019.6608740227135,40.689558,-73.991718,0.98,0.8069713913144629
2025-05-14T00:34:30,8.765507389449999,4.27417936925,-0.041874395499999995,0.0044287729769356115,-0.01664607774089592,0.010537425358915765,0.36358,-0.22162000000000004,-0.67648,21.5,0,0,0,0,0,24.2659375,29387,57.44423684346839,1019.6593429679214,40.689566,-73.991746,0.98,0.7993316152886735
2025-05-14T00:34:31,8.75354327645,4.27298295795,0.0035892338999999997,0.0054977871437821395,-0.015882496193148403,0.011759155835311796,0.36638000000000004,-0.21322000000000002,-0.6638800000000001,21.5,0,0,0,0,0,24.27765625,29614,57.36697716120952,1019.6503591098373,40.689566,-73.991746,0.98,0.7876761562977518
2025-05-14T00:34:32,8.75593609905,4.2879380992,-0.0167497582,0.00045814892864851157,-0.011606439525762293,0.012064588454410803,0.36722000000000005,-0.22582000000000002,-0.67732,21.5,0,0,0,0,0,24.2903515625,29908,57.28988421161355,1019.6590047063971,40.689566,-73.991746,0.98,0.8028745750115643
2025-05-14T00:34:33,8.77388226855,4.2514475545499995,-0.025722842949999998,-0.00045814892864851157,-0.013286318930806834,0.01114829059711378,0.37506000000000006,-0.22162000000000004,-0.6797000000000001,21.5,0,0,0,0,0,24.300703125,30229,57.21905873147035,1019.6637553303102,40.689566,-73.991746,0.91,0.8073273920783316
2025-05-14T00:34:34,8.773284062899998,4.237688824599999,-0.05503491979999999,0.003970624048287101,-0.014202616788103858,0.013133602621257331,0.36554000000000003,-0.2093,-0.6620600000000001,21.5,0,0,0,0,0,24.3094921875,30403,57.16117367516061,1019.6516797961565,40.689566,-73.991746,0.91,0.7846970276482511
