_id,SYMBOL,INDUSTRY,MARKETCAP
680e095a7ccac559e62e590f,20MICRONS,Mining / Minerals / Metals,771.93
680e095a7ccac559e62e5910,21STCENMGM,Finance & Investments,81.07
680e095a7ccac559e62e5911,360ONE,Finance & Investments,38194.99
680e095a7ccac559e62e5912,3IINFOLTD,Computers - Software - Medium / Small,404.22
680e095a7ccac559e62e5913,3MINDIA,Diversified - Large,33832.54
680e095a7ccac559e62e5914,3PLAND,Finance & Investments,76.97
680e095a7ccac559e62e5915,5PAISA,Finance & Investments,1177.45
680e095a7ccac559e62e5916,63MOONS,Computers - Software - Medium / Small,3086.34
680e095a7ccac559e62e5917,AMJUMBO,Packaging,7.98
680e095a7ccac559e62e5918,ABB,Electric Equipment,116528.42
680e095a7ccac559e62e5919,ABINFRA,Construction,527
680e095a7ccac559e62e591a,ABMINTLLTD,Trading,49.78
680e095a7ccac559e62e591b,ABREL,Paper,21429.93
680e095a7ccac559e62e591c,AGUL,Trading,22.65
680e095a7ccac559e62e591d,A2ZINFRA,Engineering - Turnkey Services,243.57
680e095a7ccac559e62e591e,AAATECH,Computers - Software - Medium / Small,99.05
680e095a7ccac559e62e591f,AADHARHFC,Finance - Housing,19703.49
680e095a7ccac559e62e5920,AAKASH,Oil Drilling / Allied Services,85.05
680e095a7ccac559e62e5921,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,158.42
680e095a7ccac559e62e5922,AARON,Engineering,359.55
680e095a7ccac559e62e5923,AARTECH,Electric Equipment,182.23
680e095a7ccac559e62e5924,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,3225.08
680e095a7ccac559e62e5925,AARTIIND,Chemicals,15550.29
680e095a7ccac559e62e5926,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,6663
680e095a7ccac559e62e5927,AARTISURF,Chemicals,376.7
680e095a7ccac559e62e5928,AARVEEDEN,Textiles - Cotton/Blended,337.33
680e095a7ccac559e62e5929,AARVI,Miscellaneous,164.52
680e095a7ccac559e62e592a,AATMAJ,Healthcare,40
680e095a7ccac559e62e592b,AAVAS,Finance - Housing,16132.31
680e095a7ccac559e62e592c,ABCOTS,Textiles - Cotton/Blended,441.48
680e095a7ccac559e62e592d,ABAN,Oil Drilling / Allied Services,231.48
680e095a7ccac559e62e592e,AFSL,Finance & Investments,912.5
680e095a7ccac559e62e592f,ABBOTINDIA,Pharmaceuticals - Multinational,63123.13
680e095a7ccac559e62e5930,ABHAPOWER,Castings & Forgings,56.79
680e095a7ccac559e62e5931,AILIMITED,Construction,49.56
680e095a7ccac559e62e5932,ABSMARINE,Shipping,282.2
680e095a7ccac559e62e5933,ACC,Cement - North India,36393.17
680e095a7ccac559e62e5934,ACCELYA,Computers - Software - Medium / Small,2020.57
680e095a7ccac559e62e5935,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,460.63
680e095a7ccac559e62e5936,ACCORD,Telecommunications - Service Provider,6.68
680e095a7ccac559e62e5937,ACCURACY,Miscellaneous,123.46
680e095a7ccac559e62e5938,ACEINTEG,Computers - Software - Medium / Small,25.08
680e095a7ccac559e62e5939,ACMESOLAR,Engineering - Turnkey Services,12844.2
680e095a7ccac559e62e593a,ACE,Engineering,14329.28
680e095a7ccac559e62e593b,ACTIVEINFR,Construction,255.26
680e095a7ccac559e62e593c,ADANIENSOL,Power Generation And Supply,109839.28
680e095a7ccac559e62e593d,ADANIENT,Trading,271728.77
680e095a7ccac559e62e593e,ADANIGREEN,Power Generation And Supply,144550.88
680e095a7ccac559e62e593f,ADANIPORTS,Miscellaneous,257704.58
