Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Temp_LSM9DS1,Proximity,Color_R,Color_G,Color_B,Color_C,BME680_Temp,Gas,Humidity,Pressure,GPS_Latitude,GPS_Longitude,GPS_Speed
2025-05-15T19:00:02,8.757730716,4.285545276599999,-0.014955141249999998,0.006719517620178169,-0.014813482026301873,0.005803219762881146,0.35854,-0.21994000000000002,-0.6609400000000001,22.5,0,0,0,0,0,24.792890625,74854,57.426980488432775,1008.844037950116,40.689363,-73.991143,1.13,0.7834323319853478
2025-05-15T19:00:03,8.7529450708,4.233501385049999,-0.0765703232,0.004581489286485115,-0.013286318930806834,0.01114829059711378,0.3521,-0.21126000000000003,-0.66766,22.5,0,225,165,153,402,24.814375,25703,57.383973457207254,1008.8526570638635,40.689363,-73.991143,1.13,0.7838208170238911
2025-05-15T19:00:04,8.728418639149998,4.2628134618999995,-0.049651068949999995,0.002901609881440573,-0.015577063574049392,0.012675453692608819,0.35602000000000006,-0.21238,-0.6802600000000001,22.5,0,225,165,153,402,24.858515625,26230,57.28499476359104,1008.8575799883736,40.689368,-73.991141,1.13,0.7966236077345438
2025-05-15T19:00:05,8.774480474199999,4.25742961105,-0.07537391189999999,0.004581489286485115,-0.014813482026301873,0.012828170002158324,0.36106000000000005,-0.21462000000000003,-0.6710200000000001,22.5,0,226,165,153,402,24.90265625,26576,57.146617462741006,1008.8589354177924,40.689368,-73.991141,1.13,0.7916400118740842
2025-05-15T19:00:07,8.728418639149998,4.2771703975,-0.04307080679999999,0.005192354524683131,-0.01664607774089592,0.012522737383059314,0.35434000000000004,-0.21798,-0.6661200000000002,22.5,0,226,165,153,402,24.94328125,26915,57.00125916576963,1008.8580647485187,40.68936,-73.991118,1.13,0.7853584980122137
2025-05-15T19:00:08,8.738588135199999,4.2687955184,-0.05982056499999999,0.0015271630954950385,-0.013744467859455347,0.01145372321621279,0.35602000000000006,-0.21182,-0.6631800000000001,22.5,0,226,165,153,403,24.978046875,27192,56.8682952691827,1008.8582378890216,40.68936,-73.991118,1.13,0.7819371235591773
2025-05-15T19:00:09,8.7768732968,4.264009873199999,-0.05982056499999999,0.004581489286485115,-0.01664607774089592,0.009773843811168246,0.3577,-0.21686000000000002,-0.67284,22.5,0,226,165,153,403,25.00890625,27673,56.73486036906096,1008.8608870634162,40.68936,-73.991118,1.13,0.7922696606585412
2025-05-15T19:00:10,8.76072174425,4.241876264149999,-0.09990034354999999,0.006719517620178169,-0.013439035240356337,0.015882496193148403,0.36050000000000004,-0.20454000000000003,-0.6592600000000001,22.5,0,226,165,153,403,25.035078125,27930,56.60084675999522,1008.8540500317933,40.68936,-73.991118,1.13,0.7787301260385399
2025-05-15T19:00:12,8.7409809578,4.259822433649999,-0.07836494014999999,0.002138028333693054,-0.019700403931885997,0.013439035240356337,0.35938000000000003,-0.22022000000000003,-0.67844,22.5,0,226,165,153,403,25.05734375,28116,56.49257357663321,1008.851472051479,40.68936,-73.991118,0.07,0.7987062453743554
2025-05-15T19:00:13,8.7433737804,4.29212553875,-0.05563312545,0.0044287729769356115,-0.017715091907742446,0.011606439525762293,0.3577,-0.21910000000000002,-0.66122,22.5,0,226,165,153,403,25.0774609375,28476,56.39715045970843,1008.850702335214,40.689246,-73.991163,0.07,0.7830491609088155
2025-05-15T19:00:14,8.769694828999999,4.25742961105,-0.0729810893,0.0025961772623415654,-0.019089538693687978,0.012370021073509813,0.35966000000000004,-0.21406000000000003,-0.67942,22.5,0,226,165,153,403,25.0938671875,28767,56.30779425931073,1008.856295420334,40.689246,-73.991163,0.07,0.7979903104674894
2025-05-15T19:00:15,8.75952533295,4.2879380992,-0.06999006104999998,-0.03741549583962844,-0.015118914645400881,0.010231992739816757,0.36694000000000004,-0.21518,-0.6561800000000001,22.5,0,226,165,153,403,25.1087109375,29084,56.23134315633714,1008.8575401503433,40.689246,-73.991163,0.07,0.7819971792788003
2025-05-15T19:00:16,8.769096623349999,4.264608078849999,-0.0394815729,0.0027488935718910697,-0.016035212502697904,0.014202616788103858,0.36134000000000005,-0.21434000000000003,-0.6881,22.5,0,227,165,153,403,25.12140625,29449,56.16770072484171,1008.858814810293,40.689246,-73.991163,0.87,0.8062194745849297
2025-05-15T19:00:18,8.7314096674,4.2759739861999995,-0.0789631458,0.003207042500539581,-0.014202616788103858,0.01114829059711378,0.36526000000000003,-0.22022000000000003,-0.6675200000000001,22.5,0,227,165,153,403,25.1317578125,29573,56.10374871839659,1008.8615792131465,40.689246,-73.991163,0.87,0.792145609342121
2025-05-15T19:00:19,8.75354327645,4.307080679999999,-0.031106693799999998,0.003207042500539581,-0.014508049407202865,0.009773843811168246,0.37422000000000005,-0.21322000000000002,-0.67522,22.5,0,227,165,153,403,25.140546875,29844,56.05267243317955,1008.8582154307041,40.68924,-73.99116,0.87,0.8008903952476893
2025-05-15T19:00:20,8.75832892165,4.255036788449999,-0.09391828705,0.0036651914291880926,-0.016340645121796914,0.008857545953871223,0.36946,-0.21854,-0.6708800000000001,22.5,0,227,165,153,404,25.1497265625,30035,56.00819955037769,1008.850151792746,40.68924,-73.99116,0.87,0.7964548936380517
2025-05-15T19:00:21,8.772685857249998,4.24666190935,-0.08135596839999999,0.0054977871437821395,-0.015118914645400881,0.011301006906663285,0.36638000000000004,-0.21966000000000002,-0.66486,22.5,0,227,165,153,404,25.15890625,30381,55.96373600077202,1008.8527700465104,40.68924,-73.99116,0.87,0.7902680808434566
