Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Temp_LSM9DS1,Proximity,Color_R,Color_G,Color_B,Color_C,BME680_Temp,Gas,Humidity,Pressure,GPS_Latitude,GPS_Longitude,GPS_Speed
2025-05-09T20:21:35,8.76670380075,4.1850467274,0.023928225999999997,0.005803219762881146,-0.009010262263420728,0.016951510359994926,0.38514000000000004,-0.23786000000000002,-0.6721400000000001,16.5,0,0,0,0,0,18.546796875,232926,63.73017256802277,1010.2498227825549,,,0.57,0.8103594133469421
2025-05-09T20:21:36,8.742177369099998,4.1970108404,0.024526431649999996,0.004276056667386108,-0.010079276430267254,0.01786780821729195,0.40698,-0.23534000000000002,-0.6622,17.5,0,96,37,31,165,18.56984375,40762,63.61211271360003,1010.2527794618486,40.68912,-73.991856,0.57,0.8121123542958819
2025-05-09T20:21:37,8.77148944595,4.2053857195,0.011365907350000001,0.0035124751196385882,-0.012522737383059314,0.020769418098732523,0.39522,-0.22862000000000005,-0.6848800000000002,17.5,0,96,37,31,165,18.6106640625,38743,63.44278530451767,1010.2499447231622,40.68912,-73.991856,0.57,0.8231200199241907
2025-05-09T20:21:38,8.74516839735,4.20718033645,0.014955141249999998,0.00045814892864851157,-0.011301006906663285,0.016035212502697904,0.39690000000000003,-0.24402000000000001,-0.6630400000000001,17.5,0,96,37,31,165,18.64953125,37874,63.23964500015238,1010.2491529606152,40.689086,-73.991645,0.57,0.8103686889311557
2025-05-09T20:21:39,8.75115045385,4.1970108404,-0.0047856452,0.003970624048287101,-0.011301006906663285,0.015577063574049392,0.39466,-0.24486000000000002,-0.6780200000000001,17.5,0,95,36,31,164,18.6815625,37272,63.01553303857092,1010.2405493252004,40.689086,-73.991645,0.57,0.8218418677580257
2025-05-09T20:21:41,8.774480474199999,4.170689791799999,0.01854437515,0.005345070834232635,-0.01466076571675237,0.016340645121796914,0.39242,-0.24514000000000002,-0.6630400000000001,17.5,0,95,36,31,164,18.706171875,37076,62.83089072874125,1010.2425565233907,40.689086,-73.991645,0.57,0.8085227996785249
2025-05-09T20:21:42,8.7720876516,4.1850467274,-0.01854437515,0.0025961772623415654,-0.014966198335851376,0.018478673455489966,0.39382000000000006,-0.23394000000000004,-0.6699,17.5,0,95,36,31,164,18.724921875,37044,62.63885327993734,1010.2366125836706,40.689086,-73.991645,0.33,0.8115344268729455
2025-05-09T20:21:43,8.752346865149999,4.17846646525,-0.0131605243,0.0027488935718910697,-0.012522737383059314,0.016035212502697904,0.39634,-0.23366000000000003,-0.6685000000000001,17.5,0,95,36,31,164,18.735859375,37109,62.45928156638904,1010.2406370486318,40.689086,-73.991645,0.33,0.8115261186184953
2025-05-09T20:21:44,8.8019979341,4.18743955,-0.005383850849999999,0.005803219762881146,-0.010384709049366262,0.014813482026301873,0.3941,-0.22750000000000004,-0.6738200000000001,17.5,0,95,36,31,164,18.7399609375,36979,62.31238962531905,1010.2421461211277,40.689086,-73.991643,0.33,0.813083299791602
2025-05-09T20:21:46,8.77627509115,4.1730826144,0.0,0.003207042500539581,-0.010079276430267254,0.01710422666954443,0.39578,-0.23758,-0.67074,17.5,0,95,36,31,164,18.737421875,37305,62.16465355423388,1010.2467527325744,40.689086,-73.991643,0.33,0.8142347403544018
2025-05-09T20:21:47,8.7804625307,4.191028783899999,-0.01256231865,0.0038179077387375964,-0.015271630954950386,0.01756237559819294,0.3983,-0.23702,-0.6704600000000001,17.5,0,95,36,31,164,18.7270703125,37338,62.06275575141996,1010.245462340006,40.689086,-73.991643,0.33,0.8150693111631673
2025-05-09T20:21:48,8.7397845465,4.1826539047999995,-0.00418743955,0.0024434609527920616,-0.010842857978014774,0.01756237559819294,0.39746000000000004,-0.23394000000000004,-0.66724,17.5,0,95,36,31,164,18.7141796875,37773,61.95386023883826,1010.2364372760389,40.689086,-73.991643,0.36,0.8111174962975464
2025-05-09T20:21:49,8.76191815555,4.19043057825,-0.005383850849999999,0.0027488935718910697,-0.012064588454410803,0.02138028333693054,0.3960600000000001,-0.23534000000000002,-0.6616400000000001,17.5,0,95,36,31,164,18.6989453125,37773,61.86475010268397,1010.2393930148489,40.689086,-73.991643,0.36,0.8062356533917365
2025-05-09T20:21:50,8.760123538599998,4.193421606499999,-0.029910282499999996,0.0019853120241435504,-0.01114829059711378,0.018173240836390957,0.38598000000000005,-0.24766000000000002,-0.67074,17.5,0,95,36,31,164,18.67921875,38252,61.79509338151261,1010.2366645020327,40.689091,-73.99165,0.36,0.8125319585099408
2025-05-09T20:21:52,8.755337893399998,4.186243138699999,0.01734796385,0.0054977871437821395,-0.010995574287564279,0.017409659288643436,0.3941,-0.23478000000000002,-0.6706,17.5,0,95,36,31,164,18.6571484375,38321,61.71844980982245,1010.22652401086,40.689091,-73.99165,0.36,0.8124905035752725
2025-05-09T20:21:53,8.74516839735,4.19401981215,-0.0095712904,0.002901609881440573,-0.010384709049366262,0.014508049407202865,0.39438000000000006,-0.23506000000000002,-0.66934,17.5,0,95,36,31,164,18.633515625,38921,61.66165340471879,1010.224368262242,40.689091,-73.99165,0.36,0.8116679269257842
2025-05-09T20:21:54,8.7720876516,4.18325211045,0.01854437515,-0.001069014166846527,-0.012522737383059314,0.017256942979093935,0.39298,-0.24038,-0.6514200000000001,17.5,0,95,36,31,164,18.6114453125,39430,61.61845230237964,1010.2248002394496,40.689091,-73.99165,0.36,0.7978495103714736
