# From Gordon et al. (2003, ApJ, 594, 279)
# A(x)/A(V) for x = 1/wave(in microns), 
# Supershell LMC2
# 1/um	A_x/A_V
1e-09	0.000
0.455	0.101
0.606	0.097
0.800	0.299
1.818	1.000
2.273	1.349
2.703	1.665
3.375	1.899
3.625	2.067
3.875	2.249
4.125	2.447
4.375	2.777
4.625	2.922
4.875	2.921
5.125	2.812
5.375	2.805
5.625	2.863
5.875	2.932
6.125	3.06
6.375	3.11
6.625	3.299
6.875	3.408
7.125	3.515
7.375	3.67
7.625	3.862
7.875	3.937
8.125	4.055
8.375	3.969

